"X","Age","Gender","Education","Country","Ethnicity","Escore","Oscore","Ascore","SS","Alcohol","Amphet","Amyl","Benzos","Choc","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Nscore","Cscore","Coke","Alcohol.Legalh","Legalh.Caff","Choc.Legalh","Country.Alcohol","Country.Caff","Cannabis"
-0.07854,-0.48246,1.98437,0.96082,-0.31685,1.93886,1.43533,0.76096,-0.21575,5,2,2,0,6,4,0,2,0,2,3,0,4,-0.67825,-0.14277,3,0,0,0,4.8041,5.76492,5.76492,4
0.49788,0.48246,1.98437,0.96082,-0.31685,-1.6334,-0.45174,-0.30172,-0.21575,4,1,1,0,6,1,0,0,1,0,0,2,2,0.73545,1.30612,0,4,6,6,3.84328,5.76492,5.76492,3
0.49788,-0.48246,-1.7379,0.96082,-0.31685,1.93886,-0.84732,-0.30172,-0.52593,5,0,0,0,4,0,0,0,0,0,0,0,0,-1.32828,1.63088,0,0,0,0,4.8041,5.76492,3.84328,2
0.49788,0.48246,-0.05921,0.24923,-0.31685,2.57309,-0.97631,0.76096,-1.54858,4,0,0,0,6,0,0,0,0,0,0,0,6,0.62967,1.13407,0,0,0,0,0.99692,1.49538,1.49538,2
1.82213,-0.48246,1.16365,0.96082,-0.31685,0.00332,-1.42424,0.59042,-0.84637,6,1,0,1,6,0,0,0,0,0,0,0,6,-0.24649,0.12331,0,0,0,0,5.76492,5.76492,5.76492,2
1.09449,-0.48246,-0.61113,-0.28519,-0.31685,0.00332,0.14143,-1.92595,1.2247,5,1,0,0,5,3,0,0,0,1,0,2,6,-1.32828,-0.52745,2,0,0,0,-1.42595,-1.71114,-1.42595,4
1.82213,-0.48246,0.45468,0.96082,-0.31685,-1.50796,-1.55521,-1.07533,-0.52593,5,2,2,0,5,1,0,0,0,0,0,0,0,-2.05048,1.13407,2,0,0,0,4.8041,5.76492,4.8041,2
1.82213,-0.48246,0.45468,-0.09765,-0.31685,-0.15487,-0.17779,-1.92595,-0.21575,6,2,0,2,6,2,0,0,2,1,0,1,0,1.37297,-1.5184,2,12,12,12,-0.5859,-0.5859,-0.5859,3
1.09449,-0.48246,-0.05921,0.96082,-0.31685,0.80523,0.7233,1.61108,-0.21575,6,1,1,0,6,0,0,0,0,1,0,1,3,-0.79151,-1.13788,0,0,0,0,5.76492,5.76492,5.76492,2
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.94779,-0.84732,1.11406,0.07987,4,0,0,0,6,0,0,0,0,0,0,0,0,0.41667,-0.89891,0,0,0,0,3.84328,4.8041,5.76492,2
1.82213,-0.48246,0.45468,0.96082,-0.31685,0.63779,1.24033,0.76096,-0.52593,5,1,1,1,5,1,0,0,0,1,0,1,6,-0.14882,1.46191,1,0,0,0,4.8041,4.8041,4.8041,2
1.82213,0.48246,-1.22751,0.24923,-0.31685,-1.6334,-3.27393,-0.76096,-1.54858,6,0,0,2,6,0,0,0,0,0,0,0,6,-0.05188,0.58489,0,0,0,0,1.49538,1.49538,1.49538,2
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928,-0.01729,0.40148,6,1,1,2,5,0,0,0,2,1,0,3,2,0.52135,-2.18109,1,12,12,10,5.76492,5.76492,4.8041,6
0.49788,0.48246,1.16365,0.96082,-0.31685,-1.50796,-0.71727,0.28783,-0.52593,6,0,0,0,5,0,0,0,0,0,0,0,0,0.04257,1.30612,0,0,0,0,5.76492,3.84328,4.8041,2
1.09449,-0.48246,-1.7379,0.96082,-0.31685,-0.80615,-1.27553,-1.47955,0.07987,6,1,1,1,6,0,1,0,1,1,1,1,2,0.31287,-0.65253,1,6,6,6,5.76492,5.76492,5.76492,2
0.49788,0.48246,-1.7379,-0.28519,-0.31685,-0.80615,0.14143,-0.60633,-0.84637,3,0,0,2,5,0,0,0,0,0,0,0,1,-1.1943,-0.00665,0,0,0,0,-0.85557,-0.85557,-1.42595,2
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928,0.43852,-0.84637,6,1,1,0,6,0,0,0,0,0,0,1,6,-0.79151,-0.00665,0,0,0,0,5.76492,5.76492,5.76492,3
0.49788,-0.48246,0.45468,-0.57009,0.1144,0.63779,0.88309,-2.90161,1.92173,4,2,1,1,5,1,1,2,1,1,1,1,5,1.02119,-0.78155,2,4,5,5,-2.28036,-2.85045,-2.85045,2
